guest_id,full_name,gender,age,phone_number,loyalty_status,signup_date
1,James Franco,Other,56,908.641.8618x7941,Silver,2021-08-20
2,Eric Beasley,Male,79,+1-903-416-6092x4865,Silver,2021-02-19
3,Dennis Rogers,Female,54,+1-444-775-3976,,2023-12-30
4,Stacy Young,Female,78,497.595.5210x0677,Bronze,2021-01-16
5,Joanna Butler,Other,71,001-213-716-8322x839,Bronze,2020-12-10
6,Kelly Brewer,Female,72,257.794.1295,Gold,2023-02-21
7,Kathleen Sweeney,Other,68,,Silver,2023-10-22
8,Janet Grant,Other,41,832-361-5226x00499,Silver,2023-10-04
9,Joshua Clayton,Male,72,7373978001,Bronze,2021-08-26
10,Caroline Khan,Female,79,4289291754,Gold,2022-09-24
11,Heather Hill,Female,63,719.238.8997,Bronze,2022-03-30
12,Barbara White,Other,79,938-546-3162x30161,Silver,2023-12-07
13,Wesley Gallegos,Other,67,260.566.7162,Bronze,2024-10-28
14,Amy Smith,Other,55,001-721-538-2241x19469,Gold,2025-09-17
15,Kristin Robertson,Male,35,495-800-5444,Bronze,2023-09-24
16,Joseph Joseph,Female,54,8183956959,Bronze,2020-12-02
17,Michael King,Male,49,9798033272,Bronze,2021-08-30
18,Lindsay Parker,Male,40,+1-616-218-8634x2077,Bronze,2025-02-07
19,Rhonda Moss,Other,62,426.513.6254x369,Silver,2024-04-17
20,Jerry Weber,Other,78,342-944-5383x320,Bronze,2024-11-15
21,David Chavez,Female,49,(280)899-3826,Bronze,2021-11-09
22,Teresa Bryan,Female,59,684-542-0392x494,Bronze,2022-01-22
23,Ian Baker,Male,23,443-552-9145,Bronze,2023-09-23
24,Adam Smith,Male,37,(463)908-1715x74035,Bronze,2025-10-18
25,Gary Carter,Other,51,322-993-0506,,2021-11-17
26,Amy Howard,Other,39,962.485.6266x51749,Bronze,2023-03-25
27,Michelle Henderson,Female,34,001-667-620-0676x180,Silver,2023-08-03
28,Paul Leonard,Female,25,001-998-822-9608x57758,,2025-06-28
29,Scott Huber,Other,29,(617)822-4293,Silver,2023-08-21
30,Diane West,Female,64,(317)609-8936x65676,Silver,2023-03-14
31,Maria Flores,Other,36,910.498.3060x3580,Gold,2020-12-23
32,Mary Nolan,Female,32,(290)400-9868,Bronze,2024-06-07
33,Michael Howard,Other,52,+1-753-762-5792x291,Bronze,2025-03-31
34,George Smith,Male,53,343-898-2983x0415,Gold,2022-08-27
35,Mr. Mitchell Wood,Other,73,001-605-676-2538x6662,Bronze,2025-08-05
36,Victor Rice MD,Male,54,810.525.9455,Bronze,2024-02-06
37,Victor Higgins,Female,29,333-842-9062,Bronze,2021-04-04
38,Eric Dean,Female,25,892.978.1687,Bronze,2022-05-06
39,Jorge Reyes,Male,54,001-330-450-9424x065,Bronze,2024-06-28
40,Timothy Garcia DVM,Male,69,5702196732,Bronze,2023-07-15
41,Brenda Mccarthy,Male,25,+1-422-724-3244x469,Bronze,2022-06-01
42,Alyssa Freeman,Other,68,001-347-714-6659x0554,Silver,2021-10-23
43,Morgan Saunders,Female,46,582.347.8110x719,Bronze,2023-09-21
44,Mary Bailey,Other,45,768.289.6631x5684,Silver,2025-01-14
45,Alison Brown,Other,79,+1-972-715-9288,Gold,2023-08-07
46,Joshua Woods,Male,58,(851)759-3745,Silver,2025-04-11
47,Christopher Marshall,Male,33,001-455-200-5278x67639,Bronze,2022-10-07
48,Michael Watkins,Male,44,+1-454-424-0266,Silver,2021-03-11
49,Joseph Delgado,Female,20,8615490487,Silver,2023-12-22
50,Brianna Melton,Other,73,400-582-6954,Silver,2020-12-22
51,Adam Garcia,Female,68,4039066093,Silver,2023-07-04
52,David Bell,Male,45,260-467-9351x0820,Bronze,2024-07-10
53,Sara Jones,Male,76,001-606-547-8504x9298,Bronze,2022-03-04
54,Stacey Fisher,Male,28,509.953.5853,Silver,2022-12-06
55,Steven West,Other,76,001-621-984-2885x7471,Bronze,2024-10-02
56,Robert Rich,Other,37,837-932-5839,Gold,2021-09-29
57,Katherine Blankenship,Other,52,001-608-302-5734x12716,Bronze,2025-06-09
58,Abigail Krueger,Male,74,(345)576-3259,Bronze,2021-07-16
59,Danny Noble,Female,19,284.249.2840x1228,,2025-07-17
60,Michelle Nelson,Other,55,+1-289-659-6052x31406,,2024-01-04
61,Patrick Mccall,Other,70,312-919-9176x018,Bronze,2023-06-30
62,Jamie Dickerson,Male,48,729-912-0168x92209,Bronze,2023-02-22
63,Mary Williams,Female,29,+1-693-711-0887x20650,Bronze,2021-03-10
64,Tanya Miller,Female,80,694.383.0280x044,Bronze,2022-02-12
65,Trevor Levine,Female,38,+1-469-385-6537x97241,Gold,2025-10-24
66,Dr. Connie Young,Female,44,001-858-967-3107x38365,Bronze,2024-07-26
67,Jesse Wells,Female,70,780-747-9049x1624,Bronze,2024-12-31
68,Carol Holmes,Male,38,(955)781-1638x14807,Bronze,2023-04-25
